,LOC,Name,Contact,Administrator,Administrator Email,Address,School Link,Staff Link
0,6023,ANDOVER MIDDLE SCHOOL,(305)654-2727,MALCOLM E. NICHOLAS,pr6023@dadeschools.net,"121 NE 207TH STREETMIAMI GARDENS, FL 33179",https://andoverms.net/,https://andoverms.net//staff-directory-2/
1,6021,ARVIDA MS,(305)385-7144,ANGELA M. HOLBROOK,pr6021@dadeschools.net,"10900 SW 127TH AVENUEMIAMI, FL 33186",https://arvidamiddle.org/,https://arvidamiddle.org//staff-directory-2/
2,6031,BROWNSVILLE MS,(305)633-1481,DERRICK J. MOORE,pr6031@dadeschools.net,"4899 NW 24TH AVENUEMIAMI, FL 33142",http://brownsville.dadeschools.net/,http://brownsville.dadeschools.net/
4,6091,CITRUS GROVE MS,(305)642-5055,ROBERT M. MEGIAS,pr6091@dadeschools.net,"2153 NW 3RD STREETMIAMI, FL 33125",https://api.dadeschools.net/schoolwebsite/#!/?schoolId=6091,https://api.dadeschools.net/schoolwebsite/#!/?schoolId=6091
5,6611,COUNTRY CLUB MIDDLE SCHOOL,(305)820-8800,RAFAEL CRESPO,pr6611@dadeschools.net,"18305 NW 75TH PLACEMIAMI, FL 33015",https://countryclubmiddleschool.net/,https://countryclubmiddleschool.net//wp-content/uploads/2020/11/Country-Club-2020-2021-Staff-Directory.pdf
6,6111,CUTLER BAY MS,(305)235-4761,IGNACIO RODRIGUEZ,pr6111@dadeschools.net,"19400 GULFSTREAM ROADCUTLER BAY, FL 33157",http://cbms.dadeschools.net/,http://cbms.dadeschools.net/
7,6071,GEORGE WASHINGTON CARVER MS,(305)444-7388,ILIANA B. ARTIME,pr6071@dadeschools.net,"4901 LINCOLN DRIVECORAL GABLES, FL 33133",https://gwcmiddleschool.net/,https://gwcmiddleschool.net//faculty-and-staff-directory/
9,6211,GLADES MS,(305)271-3342,CYNTHIA VALDES-GARCIA,pr6211@dadeschools.net,"9451 SW 64TH STREETMIAMI, FL 33173",http://gladesmiddle.dadeschools.net/,http://gladesmiddle.dadeschools.net/
10,6221,HAMMOCKS MS,(305)385-0896,DEBORAH LEAL,pr6221@dadeschools.net,"9889 HAMMOCKS BOULEVARDMIAMI, FL 33196",https://hammocksmiddleschool.org/,https://hammocksmiddleschool.org//apps/pages/index.jsp
11,6171,HENRY H. FILER MS,(305)822-6601,RENE BELLMAS,pr6171@dadeschools.net,"531 WEST 29 STREETHIALEAH, FL 33012",https://henryfilerms.com/,https://henryfilerms.com//apps/staff/
13,6751,HIALEAH GARDENS MIDDLE SCHOOL,(305)817-0017,CYNTHIA M. LIMA,pr6751@dadeschools.net,"11690 NW 92 AVENUEHIALEAH GARDENS, FL 33018",http://hgms.dadeschools.net/,http://hgms.dadeschools.net/
16,6251,HOMESTEAD MS,(305)247-4221,JONATHAN A. BRITTON,pr6251@dadeschools.net,"650 NW 2ND AVENUEHOMESTEAD, FL 33030",https://homesteadmiddle.com/,https://homesteadmiddle.com//staff-directory/
17,6411,HORACE MANN MS,(305)757-9537,DR. OTTOLITA T. THOMPSON,pr6411@dadeschools.net,"8950 NW 2ND AVENUEMIAMI, FL 33150",http://hmms.dadeschools.net/,http://hmms.dadeschools.net/
18,6441,HOWARD D. MCMILLAN MS,(305)385-6877,DR. FELICIA K. JOSEPH,pr6441@dadeschools.net,"13100 SW 59TH STREETMIAMI, FL 33183",https://www.hdmcmillan.org/,https://www.hdmcmillan.org/;
21,6361,JOSE DE DIEGO MS,(305)573-7229,TEANDRA E. CALIXTE,pr6361@dadeschools.net,"3100 NW FIFTH AVENUEMIAMI, FL 33127",http://jdiego.dadeschools.net/,http://jdiego.dadeschools.net/
22,6331,KINLOCH PARK MS,(305)445-5467,SYLVIA COTO-GONZALEZ,pr6331@dadeschools.net,"4340 NW 3RD STREETMIAMI, FL 33126",https://kpmschool.net/,https://kpmschool.net//staff-directory/
23,6351,LAKE STEVENS MS,(305)620-1294,LIZETTE M. ESTEVEZ,pr6351@dadeschools.net,"18484 NW 48TH PLACEMIAMI, FL 33055",http://lsms.dadeschools.net/,http://lsms.dadeschools.net/
24,6921,LAMAR LOUISE CURRY MS,(305)222-2775,MICHELE A. BUSH,pr6921@dadeschools.net,"15750 SW 47 STREETMIAMI, FL 33185",https://lamarlouisecurry.net/,https://lamarlouisecurry.net//staff-directory/
25,6161,LAWTON CHILES MS,(305)816-9101,STEPHANIE M. TUDOR,pr6161@dadeschools.net,"8190 NW 197 STREETMIAMI, FL 33015",https://lawtonchilesmiddle.com/,https://lawtonchilesmiddle.com/;
26,6391,MADISON MS,(305)836-2610,ANTHONY E. SIMONS III III,pr6391@dadeschools.net,"3400 NW 87TH STREETMIAMI, FL 33147",https://madisonms.net/,https://madisonms.net//staff-directory/
27,6541,MIAMI BEACH NAUTILUS MS,(305)532-3481,MARY MURPHY,pr6541@dadeschools.net,"4301 NORTH MICHIGAN AVENUEMIAMI BEACH, FL 33140",https://www.mbnautilussharks.org/,https://www.mbnautilussharks.org//apps/staff/
28,6501,MIAMI LAKES MS,(305)557-3900,MARIA MEDINA,pr6501@dadeschools.net,"6425 MIAMI LAKEWAY NORTHMIAMI LAKES, FL 33014",https://www.miamilakeswarriors.org/,https://www.miamilakeswarriors.org//apps/staff/
29,6521,MIAMI SPRINGS MIDDLE,(305)888-6457,ALINA VALERO,pr6521@dadeschools.net,"150 SOUTH ROYAL POINCIANA BOULEVARDMIAMI SPRINGS, FL 33166",http://miamispringsmiddle.net/,http://miamispringsmiddle.net//faculty-and-staff-directory/
30,6571,NORLAND MS,(305)653-1210,DR. SACHA T. CHALLENGER,pr6571@dadeschools.net,"1235 NW 192ND TERRACEMIAMI GARDENS, FL 33169",https://norlandmiddleschool.net/,https://norlandmiddleschool.net//staff-directory/
31,6591,NORTH DADE MS,(305)624-8415,KHARIM ARMAND,pr6591@dadeschools.net,"1840 NW 157 STREETMIAMI GARDENS, FL 33054",http://northdadems.net/,http://northdadems.net//faculty-staff-directory/
32,6631,NORTH MIAMI MS,(305)891-5611,DR. PHILIPPE J. NAPOLEON,pr6631@dadeschools.net,"700 NE 137TH STREETNORTH MIAMI, FL 33161",http://northmiamims.net/,http://northmiamims.net//faculty-and-staff-directory/
